symptoms_text,label
chest pain shortness of breath palpitations,Cardiology
chest pain,Cardiology
skin dryness itching rash,Dermatology
palpitations shortness of breath chest pain,Cardiology
shortness of breath,Cardiology
shortness of breath palpitations,Cardiology
palpitations chest pain shortness of breath,Cardiology
itching skin dryness rash,Dermatology
palpitations,Cardiology
cough fatigue,General Medicine
chest pain palpitations,Cardiology
skin dryness,Dermatology
skin dryness rash itching,Dermatology
fatigue fever,General Medicine
fatigue,General Medicine
fatigue fever cough,General Medicine
palpitations,Cardiology
fatigue cough,General Medicine
itching skin dryness,Dermatology
itching,Dermatology
chest pain palpitations shortness of breath,Cardiology
shortness of breath palpitations,Cardiology
itching rash,Dermatology
chest pain shortness of breath palpitations,Cardiology
chest pain,Cardiology
fever,General Medicine
skin dryness itching,Dermatology
fatigue cough fever,General Medicine
skin dryness rash itching,Dermatology
cough,General Medicine
chest pain shortness of breath,Cardiology
itching rash,Dermatology
palpitations chest pain shortness of breath,Cardiology
fever,General Medicine
shortness of breath palpitations chest pain,Cardiology
palpitations shortness of breath chest pain,Cardiology
cough fever fatigue,General Medicine
chest pain palpitations shortness of breath,Cardiology
fatigue fever cough,General Medicine
cough,General Medicine
rash itching skin dryness,Dermatology
rash itching skin dryness,Dermatology
cough fever,General Medicine
chest pain,Cardiology
chest pain,Cardiology
shortness of breath palpitations chest pain,Cardiology
fatigue,General Medicine
fatigue,General Medicine
chest pain shortness of breath palpitations,Cardiology
palpitations shortness of breath,Cardiology
cough fever,General Medicine
shortness of breath palpitations,Cardiology
cough,General Medicine
fever fatigue cough,General Medicine
palpitations chest pain,Cardiology
rash skin dryness,Dermatology
fever cough,General Medicine
shortness of breath,Cardiology
chest pain palpitations,Cardiology
shortness of breath,Cardiology
chest pain,Cardiology
rash itching skin dryness,Dermatology
fever fatigue cough,General Medicine
fever cough fatigue,General Medicine
skin dryness rash itching,Dermatology
skin dryness itching rash,Dermatology
itching rash,Dermatology
chest pain,Cardiology
shortness of breath,Cardiology
chest pain palpitations shortness of breath,Cardiology
chest pain,Cardiology
chest pain palpitations,Cardiology
cough fatigue fever,General Medicine
palpitations chest pain,Cardiology
fever cough,General Medicine
fever fatigue cough,General Medicine
fever fatigue,General Medicine
shortness of breath,Cardiology
itching rash,Dermatology
fatigue cough fever,General Medicine
fatigue cough fever,General Medicine
skin dryness itching,Dermatology
palpitations shortness of breath,Cardiology
rash skin dryness itching,Dermatology
palpitations,Cardiology
palpitations,Cardiology
chest pain palpitations shortness of breath,Cardiology
skin dryness itching rash,Dermatology
rash skin dryness,Dermatology
skin dryness rash,Dermatology
itching rash skin dryness,Dermatology
skin dryness itching rash,Dermatology
fatigue,General Medicine
itching rash,Dermatology
palpitations chest pain shortness of breath,Cardiology
cough,General Medicine
fever cough fatigue,General Medicine
palpitations,Cardiology
rash itching skin dryness,Dermatology
cough fatigue,General Medicine
skin dryness,Dermatology
palpitations,Cardiology
fatigue cough,General Medicine
fever cough,General Medicine
itching rash skin dryness,Dermatology
palpitations chest pain shortness of breath,Cardiology
itching skin dryness,Dermatology
chest pain shortness of breath palpitations,Cardiology
cough fever,General Medicine
rash skin dryness,Dermatology
rash itching skin dryness,Dermatology
fever,General Medicine
itching skin dryness rash,Dermatology
palpitations,Cardiology
fever fatigue,General Medicine
itching skin dryness rash,Dermatology
chest pain,Cardiology
chest pain shortness of breath,Cardiology
shortness of breath chest pain palpitations,Cardiology
fatigue cough fever,General Medicine
itching rash,Dermatology
palpitations shortness of breath chest pain,Cardiology
palpitations shortness of breath chest pain,Cardiology
itching,Dermatology
skin dryness rash itching,Dermatology
palpitations shortness of breath,Cardiology
skin dryness rash itching,Dermatology
cough fatigue fever,General Medicine
skin dryness rash itching,Dermatology
fatigue cough fever,General Medicine
itching rash,Dermatology
fever cough,General Medicine
cough fatigue fever,General Medicine
shortness of breath palpitations chest pain,Cardiology
cough,General Medicine
cough,General Medicine
shortness of breath palpitations,Cardiology
chest pain,Cardiology
fatigue,General Medicine
fever cough,General Medicine
fever fatigue cough,General Medicine
shortness of breath,Cardiology
palpitations,Cardiology
palpitations shortness of breath,Cardiology
chest pain shortness of breath,Cardiology
fever fatigue cough,General Medicine
chest pain palpitations,Cardiology
fatigue fever,General Medicine
chest pain palpitations,Cardiology
chest pain,Cardiology
shortness of breath chest pain,Cardiology
skin dryness rash,Dermatology
rash itching skin dryness,Dermatology
fatigue,General Medicine
fatigue,General Medicine
palpitations,Cardiology
palpitations shortness of breath,Cardiology
shortness of breath,Cardiology
cough fever fatigue,General Medicine
palpitations shortness of breath chest pain,Cardiology
shortness of breath chest pain,Cardiology
palpitations shortness of breath chest pain,Cardiology
fatigue fever,General Medicine
palpitations shortness of breath,Cardiology
palpitations chest pain,Cardiology
rash,Dermatology
cough fatigue,General Medicine
chest pain shortness of breath,Cardiology
cough fever fatigue,General Medicine
fatigue,General Medicine
chest pain,Cardiology
fever,General Medicine
chest pain,Cardiology
palpitations,Cardiology
fatigue,General Medicine
fever cough fatigue,General Medicine
itching rash,Dermatology
cough fatigue fever,General Medicine
cough fever,General Medicine
chest pain shortness of breath,Cardiology
shortness of breath,Cardiology
itching,Dermatology
shortness of breath palpitations chest pain,Cardiology
itching skin dryness rash,Dermatology
rash skin dryness,Dermatology
fatigue cough fever,General Medicine
fatigue,General Medicine
fever fatigue,General Medicine
cough fever,General Medicine
skin dryness itching,Dermatology
itching rash,Dermatology
rash itching,Dermatology
skin dryness,Dermatology
skin dryness rash itching,Dermatology
palpitations chest pain shortness of breath,Cardiology
skin dryness,Dermatology
itching skin dryness rash,Dermatology
palpitations shortness of breath,Cardiology
cough,General Medicine
chest pain,Cardiology
chest pain shortness of breath palpitations,Cardiology
fever,General Medicine
itching skin dryness rash,Dermatology
fatigue fever cough,General Medicine
palpitations shortness of breath,Cardiology
fatigue cough,General Medicine
palpitations chest pain,Cardiology
chest pain shortness of breath palpitations,Cardiology
fatigue,General Medicine
itching rash,Dermatology
shortness of breath chest pain palpitations,Cardiology
cough,General Medicine
cough fever fatigue,General Medicine
fatigue cough fever,General Medicine
shortness of breath palpitations chest pain,Cardiology
fatigue fever cough,General Medicine
fatigue,General Medicine
shortness of breath,Cardiology
chest pain,Cardiology
rash itching skin dryness,Dermatology
palpitations chest pain shortness of breath,Cardiology
fatigue fever,General Medicine
shortness of breath palpitations chest pain,Cardiology
cough,General Medicine
chest pain,Cardiology
fever fatigue,General Medicine
cough fever,General Medicine
fatigue fever,General Medicine
palpitations chest pain,Cardiology
rash,Dermatology
itching skin dryness rash,Dermatology
cough fatigue fever,General Medicine
shortness of breath chest pain,Cardiology
fatigue fever cough,General Medicine
shortness of breath,Cardiology
fever cough fatigue,General Medicine
palpitations shortness of breath,Cardiology
skin dryness,Dermatology
chest pain shortness of breath palpitations,Cardiology
skin dryness,Dermatology
skin dryness rash,Dermatology
fatigue cough,General Medicine
shortness of breath palpitations,Cardiology
chest pain shortness of breath palpitations,Cardiology
skin dryness itching,Dermatology
