symptoms_text,label
nausea light sensitivity,Migraine
headache,Migraine
nausea shortness of breath dizziness,Cardiac Event
cough fever,Viral Infection
light sensitivity dizziness,Migraine
fatigue,Viral Infection
fatigue fever cough,Viral Infection
sore throat,Viral Infection
rash itching redness,Allergic Dermatitis
fever fatigue,Viral Infection
nausea dizziness,Migraine
cough,Viral Infection
fatigue fever,Viral Infection
sore throat fatigue,Viral Infection
rash redness,Allergic Dermatitis
swelling redness,Allergic Dermatitis
fatigue,Viral Infection
fever fatigue sore throat,Viral Infection
dizziness nausea,Migraine
fever cough,Viral Infection
sore throat fatigue,Viral Infection
sore throat,Viral Infection
nausea headache,Migraine
cough fever,Viral Infection
cough,Viral Infection
rash,Allergic Dermatitis
fever cough fatigue,Viral Infection
fatigue sore throat,Viral Infection
cough fatigue,Viral Infection
fever,Viral Infection
headache dizziness light sensitivity,Migraine
cough fatigue,Viral Infection
cough,Viral Infection
light sensitivity nausea,Migraine
fatigue cough,Viral Infection
headache light sensitivity,Migraine
dizziness,Migraine
fever sore throat fatigue,Viral Infection
fever fatigue cough,Viral Infection
fatigue fever,Viral Infection
nausea light sensitivity,Migraine
fatigue,Viral Infection
fatigue sore throat fever,Viral Infection
fatigue fever,Viral Infection
fever fatigue sore throat,Viral Infection
sore throat cough,Viral Infection
shortness of breath nausea,Cardiac Event
cough,Viral Infection
fatigue fever,Viral Infection
fever cough fatigue,Viral Infection
fever,Viral Infection
swelling,Allergic Dermatitis
fatigue,Viral Infection
fever fatigue,Viral Infection
dizziness light sensitivity nausea,Migraine
swelling redness rash,Allergic Dermatitis
sore throat,Viral Infection
swelling rash redness,Allergic Dermatitis
fatigue sore throat fever,Viral Infection
cough,Viral Infection
nausea,Cardiac Event
light sensitivity headache nausea,Migraine
sore throat,Viral Infection
light sensitivity nausea,Migraine
headache light sensitivity,Migraine
fever,Viral Infection
rash swelling redness,Allergic Dermatitis
rash,Allergic Dermatitis
cough sore throat fever,Viral Infection
fatigue sore throat fever,Viral Infection
headache dizziness light sensitivity,Migraine
fever sore throat,Viral Infection
dizziness,Migraine
fever fatigue,Viral Infection
fever cough fatigue,Viral Infection
chest pain nausea,Cardiac Event
cough fever,Viral Infection
cough fatigue fever,Viral Infection
sore throat,Viral Infection
itching redness,Allergic Dermatitis
fever cough,Viral Infection
headache nausea,Migraine
dizziness light sensitivity nausea,Migraine
fever fatigue sore throat,Viral Infection
cough fever,Viral Infection
dizziness nausea headache,Migraine
fever sore throat,Viral Infection
sore throat fever fatigue,Viral Infection
cough fever,Viral Infection
fatigue fever sore throat,Viral Infection
sore throat fatigue,Viral Infection
cough fatigue sore throat,Viral Infection
sore throat fever,Viral Infection
sore throat cough,Viral Infection
cough,Viral Infection
fatigue sore throat fever,Viral Infection
rash redness swelling,Allergic Dermatitis
nausea,Cardiac Event
nausea dizziness,Migraine
cough fever fatigue,Viral Infection
fatigue sore throat fever,Viral Infection
fever cough,Viral Infection
fatigue cough,Viral Infection
cough fever,Viral Infection
fatigue cough sore throat,Viral Infection
cough sore throat,Viral Infection
light sensitivity,Migraine
sore throat fever cough,Viral Infection
fatigue sore throat,Viral Infection
cough fever fatigue,Viral Infection
sore throat fatigue,Viral Infection
nausea,Cardiac Event
fatigue sore throat,Viral Infection
